<Apps_for_Android> games:3081.15 play:2158.37 graphics:1505.51 kindle:1470.82 addictive:1311.91 challenging:1038.13 coins:1002.66 addicting:990.84 fire:956.15 levels:825.38 playing:692.93 ads:642.40 puzzles:596.77 apps:548.78 free:500.99 bingo:409.24 mahjong:322.01 download:303.86 faotd:288.86 facebook:282.52 downloaded:262.77 hints:242.61 solitaire:211.64 android:211.58 puzzle:198.86 gameplay:198.51 freezes:189.68 unlock:185.75 played:180.40 deleted:179.22 bought:174.46 flappy:173.31 upgrades:169.00 awesome:155.21 tablet:155.14 price:149.60 calculator:148.96 developer:148.38 quality:144.19 permissions:137.37 author:135.34 earn:134.75 bored:131.23 uninstall:127.29 sudoku:127.00 fit:126.10 years:124.36 reading:121.65 made:120.91 characters:118.10 gameloft:115.53 series:115.06 written:114.84 addicted:109.65 crashes:107.31 brain:106.93 multiplayer:102.51 challenge:102.19 sims:100.45 uninstalling:100.32 tetris:99.24 back:99.12 glitches:99.03 end:95.25 waster:94.23 crashing:93.69 downloading:93.54 size:93.34 put:91.54 logos:88.27 minecraft:88.27 apos:86.65 devs:86.65 freecell:86.65 glu:86.65
<Automotive> oem:1068.86 honda:1035.22 engine:763.28 vehicle:667.99 headlights:661.42 exhaust:627.50 jeep:613.54 installed:556.77 tire:547.40 headlight:522.19 toyota:469.63 factory:415.45 dealer:413.40 dealership:397.03 muffler:394.64 ford:381.60 wiper:376.08 nissan:370.52 mats:370.32 fit:345.04 wipers:343.57 dodge:326.57 bumper:299.24 fuel:294.45 chevy:285.28 windshield:284.92 acdelco:281.88 acura:281.88 crv:281.88 installation:279.50 gasket:277.62 camry:272.07 gmc:272.07 civic:260.74 helmet:247.72 subaru:246.08 cars:234.64 kia:233.24 cab:231.00 altima:225.50 delco:225.50 detailer:225.50 meguiar:225.50 hitch:218.44 trailer:211.05 wheel:205.90 atv:198.50 gaskets:198.50 tranny:198.50 passenger:197.61 decal:196.45 motorcycle:191.88 lights:188.04 torque:180.17 trucks:180.17 alternator:178.80 buick:178.80 integra:178.80 resistor:178.80 silverado:178.80 taillight:178.80 filter:175.44 coupe:172.45 sealant:172.45 trunk:169.97 arnley:169.12 ballasts:169.12 dorman:169.12 kensun:169.12 mpg:169.12 visors:169.12 weathertech:169.12 steering:163.31 mirror:160.73 vehicles:157.31
<Baby> diaper:2429.74 crib:2411.47 newborn:1292.01 seat:1260.45 pacifiers:1206.43 carseat:1191.02 sippy:1171.17 pacifier:1105.93 nipple:1049.25 diapers:996.18 britax:940.49 strollers:935.77 infant:923.41 medela:855.96 graco:850.69 babies:797.12 avent:765.61 swaddle:765.61 gate:755.23 teething:748.56 teether:680.53 toddler:634.34 son:514.35 highchair:510.39 nursery:499.79 daughter:497.39 naps:492.25 breast:472.91 bassinet:460.04 potty:446.34 tub:441.38 boppy:435.77 mam:435.77 swaddling:425.32 blanket:415.76 playtex:412.65 latch:405.45 nipples:396.93 bottles:395.75 bath:393.90 recline:379.80 swaddled:379.80 reclined:352.77 diapering:340.25 nuk:340.25 prefolds:340.25 soothie:340.25 teethers:340.25 wubbanub:340.25 feeding:339.57 blankets:324.57 breastfeeding:317.96 bib:301.47 carrier:300.98 month:291.10 months:285.35 toys:283.47 evenflo:270.60 outgrew:262.10 blankie:255.18 breastfed:255.18 carseats:255.18 chicco:255.18 colicky:255.18 prefold:255.18 sleepsacks:255.18 snugride:255.18 milk:237.15 convertible:237.05 rattle:236.35 tray:229.66 burp:224.18 munchkin:224.18 chair:223.03 bottle:215.87
<Beauty> lotion:2313.73 scent:2300.79 shampoo:2233.72 smells:2182.08 conditioner:1797.86 dry:1453.09 smell:1370.41 fragrance:1346.82 oily:1308.61 perfume:1259.92 moisturizer:1185.95 curly:1150.57 acne:1022.64 greasy:1017.47 curls:939.62 makeup:913.79 polish:901.16 lashes:848.91 salon:841.37 brush:839.53 frizzy:837.69 mascara:837.69 tanning:762.23 frizz:759.36 cleanser:709.35 serum:709.35 products:693.76 moisturizing:683.33 bottle:665.66 cream:661.46 scalp:659.03 cologne:647.11 nail:625.96 curl:571.80 shiny:546.33 lipstick:542.69 dryer:536.40 face:520.44 perfumes:491.18 nails:490.26 shampoos:479.71 gel:477.77 comb:470.12 complexion:469.70 pores:469.70 fragrances:456.53 spf:456.53 opi:455.67 brushes:441.43 drying:429.97 redness:428.21 straightener:417.69 curling:399.53 wavy:398.36 oil:386.31 eyelashes:371.42 moisturized:371.42 hydrating:343.38 concealer:341.74 eyeliner:341.74 natural:336.22 silky:335.22 soap:331.20 lotions:328.23 breakouts:323.50 moisturizers:305.77 eyeshadow:303.76 smooth:294.75 scents:288.06 bristles:287.24 tan:286.97 wash:284.56 soft:279.28 sunscreen:279.04 apply:278.50
<Book> reading:6184.61 author:6181.07 characters:4818.14 written:4300.45 series:2865.62 reader:2786.95 writing:2431.36 interesting:2380.10 world:2162.42 enjoyed:2121.47 pages:2113.49 stories:2048.68 character:1945.43 history:1784.44 page:1780.45 information:1721.40 readers:1500.07 chapter:1451.01 plot:1359.48 price:1322.72 authors:1307.19 quality:1301.54 people:1238.46 understand:1129.12 romance:1112.73 chapters:1106.79 mystery:1047.87 lives:1040.96 writer:1033.50 fit:1023.03 novels:1017.89 end:983.39 loved:978.85 man:925.72 learn:921.24 ending:918.50 god:917.32 ideas:897.27 fiction:893.58 human:881.50 relationship:874.06 understanding:863.34 subject:844.07 bought:834.37 war:827.58 interested:795.36 young:788.78 writes:780.90 finished:780.34 size:779.94 historical:773.60 sense:771.65 family:766.42 works:752.38 questions:743.69 examples:741.98 knowledge:734.85 text:728.97 interest:726.49 events:725.37 recipes:725.24 published:721.06 found:719.28 wait:715.27 illustrations:701.06 children:697.26 journey:693.40 study:686.91 forward:685.03 felt:683.69 reference:679.03 heart:676.83 guide:674.52 personal:666.32 insight:664.61
<CDs_and_Vinyl> music:13083.77 albums:6705.82 tracks:6516.95 lyrics:5856.64 listen:5637.04 band:4883.45 rock:4836.65 vocals:4785.88 track:4579.55 listening:3608.89 heard:3521.93 recording:2912.74 sound:2907.79 voice:2662.90 quot:2356.90 record:2343.58 singing:2308.63 musical:2279.90 sounds:2174.17 cds:2145.67 recordings:2121.59 vocal:2097.25 recorded:2061.58 jazz:2054.71 singer:2035.69 disc:2033.55 tunes:1928.38 hear:1863.79 solo:1763.54 sing:1750.76 bands:1725.77 blues:1701.71 catchy:1655.44 listened:1652.64 melodies:1580.24 hits:1574.44 concert:1531.87 fan:1519.62 pop:1474.95 acoustic:1362.35 instrumental:1353.17 release:1353.09 artists:1314.95 melodic:1309.13 musicians:1180.19 fans:1161.65 sings:1160.09 listener:1153.08 piano:1139.34 released:1130.77 chorus:1112.28 musically:1103.20 punk:1098.32 collection:1088.70 arrangements:1078.45 records:1072.64 ballads:1053.01 instruments:1030.05 drums:1020.95 orchestra:1017.12 compilation:1011.92 melody:1006.53 classic:989.85 singers:977.18 songwriting:974.59 ballad:972.18 production:966.43 live:949.01 bass:937.38 guitars:919.84 riffs:906.21 favorite:903.98 dance:898.80 soundtrack:891.36 musicianship:883.99
<Cell_Phones_and_Accessorie> iphone:4184.06 screen:2076.92 protector:2013.23 galaxy:1707.01 charger:1478.38 otterbox:1443.87 dropped:1350.92 charge:1308.57 battery:1093.38 protects:1061.59 samsung:1034.38 protection:981.07 cases:951.46 phones:933.70 fits:868.28 charging:813.57 headset:809.39 htc:754.70 bluetooth:639.40 cell:612.92 verizon:594.90 nokia:591.23 buttons:589.12 otter:545.60 protectors:533.99 blackberry:503.88 bubbles:456.37 pocket:451.82 cover:446.77 droid:429.62 protective:419.94 motorola:413.75 protected:378.34 fit:376.61 protect:374.18 lg:374.00 headsets:361.84 stylus:358.40 rubber:341.94 bulky:338.33 charged:310.20 charges:309.70 clip:308.95 edges:304.08 slim:302.68 chargers:301.54 mobile:287.66 sprint:286.39 kickstand:281.34 sim:277.29 iphones:272.26 scratches:269.88 perfectly:269.46 ear:257.88 drop:247.74 tpu:240.44 cracked:239.99 rubberized:235.22 gs:222.09 spigen:218.71 holster:216.92 smartphone:214.89 broke:214.54 texting:214.28 unlocked:213.80 plastic:211.42 defender:208.62 grip:207.00 zagg:206.05 button:205.51 lifeproof:205.21 reading:204.98 cellphone:203.26 mah:201.81 usb:195.85
<Clothing_Shoes_and_Jewelry> comfortable:4674.49 shoe:4043.17 size:3312.67 fit:2736.73 pair:2384.97 shirt:2218.52 boots:2009.97 wearing:1675.07 dress:1471.86 worn:1405.34 earrings:1392.18 jeans:1152.07 sandals:1125.86 feet:1116.95 bra:987.84 bracelet:986.63 wore:979.47 socks:978.76 cute:920.68 necklace:882.93 compliments:855.42 heel:849.21 costume:844.60 sizing:815.67 leather:792.78 pants:785.67 watches:747.18 sole:729.38 fabric:723.46 color:712.55 comfy:669.61 toe:660.03 waist:642.03 slippers:596.96 ordered:576.60 shirts:561.41 fits:553.43 jewelry:542.61 foot:540.77 ring:523.84 pairs:506.22 wears:487.31 leggings:455.26 sizes:447.78 sandal:442.39 tight:437.22 jacket:419.24 watch:418.91 soles:418.32 arch:417.68 quality:412.68 casual:404.52 boot:402.10 flattering:395.13 colors:388.57 soft:383.91 warm:378.60 sneakers:376.36 stylish:375.47 pendant:342.86 outfit:342.39 characters:336.33 material:333.95 reading:330.67 bras:325.05 nice:311.77 narrow:307.02 sweater:306.69 cotton:305.54 clasp:305.31 wrist:302.76 footbed:292.46 dressy:290.66 skirt:287.87 hat:286.41
<Digital_Music> music:1420.97 lyrics:892.20 listen:770.90 heard:594.07 albums:579.91 voice:507.85 playlist:458.65 vocals:455.25 catchy:437.97 band:379.32 tracks:347.75 sing:346.06 upbeat:344.78 listening:320.88 mp:317.38 rock:314.27 singing:296.48 sings:289.38 singer:285.46 sounds:243.42 rap:224.50 artist:221.91 ballad:217.33 track:215.75 radio:210.60 hear:208.60 sung:201.41 jazz:199.82 sound:198.20 bloops:186.59 crusin:186.59 hackett:186.59 nastradamus:186.59 spangled:186.59 underoath:186.59 listened:186.16 download:176.20 tune:166.91 ep:166.15 cher:161.46 drums:155.56 talented:145.71 bluesy:144.10 dance:142.50 blues:142.27 artists:142.27 funk:142.06 falsetto:136.97 sounding:135.54 recording:134.74 groove:134.57 soulful:134.27 indie:125.43 bands:123.71 bleeps:123.07 krall:123.07 pharrell:123.07 pretenders:123.07 songstress:123.07 withers:123.07 yodeling:123.07 musicians:122.11 listens:121.12 knopfler:116.55 lyrically:116.01 recorded:113.43 classic:112.91 record:112.79 released:109.69 guitarist:109.47 rapping:109.26 vocal:107.83 bonnie:106.53 chorus:105.58 favorite:101.43
<Electronic> cable:3380.47 computer:2636.52 usb:2610.33 screen:1911.25 works:1800.80 tv:1794.47 sound:1725.15 ipod:1670.66 hdmi:1665.15 ipad:1649.58 speakers:1646.59 keyboard:1606.46 device:1604.52 gb:1600.06 adapter:1566.53 headphones:1485.14 battery:1462.21 plug:1399.24 drive:1296.14 wireless:1292.69 tablet:1283.39 pc:1263.61 card:1257.54 hd:1224.09 cables:1201.81 sony:1199.73 lens:1134.34 plugged:1121.26 software:1065.59 port:1052.90 router:1025.80 windows:1010.26 remote:1000.85 price:992.63 unit:973.53 signal:872.18 canon:868.95 external:860.99 player:859.11 speaker:853.47 mouse:852.39 setup:846.78 audio:837.78 cord:825.01 nikon:817.53 sd:815.09 apple:790.51 quality:755.58 devices:742.71 lcd:738.14 cameras:702.08 desktop:694.44 receiver:676.93 charger:664.53 video:651.75 logitech:639.16 mac:636.16 antenna:633.09 gps:630.91 mp:619.93 ports:601.62 installed:589.36 charge:579.24 worked:569.15 asus:565.57 macbook:555.55 connect:555.30 flash:555.20 monitor:552.96 zoom:548.71 power:543.18 files:536.62 portable:536.60 bluetooth:529.48 mode:510.60
<Grocery_and_Gourmet_Food> flavors:2104.38 snack:2070.36 delicious:1741.68 tasting:1740.71 tea:1693.17 tastes:1664.29 chocolate:1610.00 flavored:1420.75 sugar:1365.63 tasted:1054.62 teas:944.77 drink:943.48 organic:934.82 coffees:875.56 sauce:856.75 salty:837.74 butter:806.00 gluten:786.83 tasty:756.52 flavorful:709.21 peanut:685.23 sweetener:684.42 milk:682.01 spicy:679.16 salt:667.45 cocoa:666.44 candies:665.19 coconut:661.73 keurig:651.89 corn:636.17 cereal:636.10 creamy:635.45 seasoning:603.92 aroma:599.58 eat:599.21 cinnamon:592.09 crunchy:592.09 bitter:589.86 cookies:577.75 almonds:569.19 texture:566.70 sodium:553.07 grocery:541.23 cup:540.60 chewy:526.24 crackers:522.58 yummy:510.50 rice:509.82 oatmeal:491.15 starbucks:462.55 drinker:456.56 breakfast:456.35 aftertaste:449.59 calories:447.89 cups:424.66 candy:414.44 healthy:411.37 fruit:407.25 cereals:399.07 decaf:399.07 caramel:391.96 flour:386.76 hazelnut:379.43 sweetened:379.43 roast:373.93 chocolates:371.57 iced:360.93 pack:358.85 tazo:358.69 granola:351.91 syrup:346.06 stevia:343.52 flavoring:343.50 vanilla:337.30 caffeine:326.82
