<Apps_for_Android> games:2537023.22 play:2247114.61 graphics:1713235.62 kindle:1623401.37 addicting:1242819.36 addictive:1035936.04 challenging:992713.54 coins:955141.68 fire:873191.81 playing:858859.41 puzzles:685415.55 apps:581652.15 levels:524728.63 free:500988.22 download:468864.37 downloaded:401944.13 ads:391312.78 bingo:326742.10 gameplay:292273.05 flappy:278066.69 uninstalled:268092.43 facebook:244859.84 mahjong:224890.23 solitaire:208979.84 puzzle:202464.94 played:195722.99 faotd:192946.73 waster:191535.25 deleted:177755.91 bought:177045.09 android:167437.89 minecraft:151811.82 permissions:150550.72 quality:149209.65 earn:147634.16 glitches:146215.37 price:143876.05 delete:140444.85 author:135123.86 made:132579.27 challenge:132521.09 reading:132387.73 addicted:131974.39 years:129978.72 fit:125061.87 freezes:124941.46 uninstall:115769.58 unlock:115526.47 characters:111292.74 series:110420.66 downloading:109582.45 written:106710.98 multiplayer:103978.09 hints:94662.75 size:91928.58 brain:89850.40 crashes:88833.96 logos:88734.41 bored:88519.63 appstore:87729.09 awesome:87072.55 end:86585.39 sims:86515.18 developer:86220.86 put:86093.99 small:85848.15 back:85711.07 perfect:83950.14 feel:83252.21 light:82043.57 apos:78491.83 temple:73682.61 tetris:73628.04 ordered:73215.78 gameloft:71976.96	
<Automotive> honda:899898.01 vehicle:849324.98 jeep:790102.37 oem:755367.58 toyota:715339.04 installed:635970.41 engine:597444.66 headlights:510657.38 wiper:461613.73 dealer:436119.23 dealership:402704.27 tire:360448.91 fit:356693.75 chevy:355170.13 brake:353076.90 installation:340951.66 ford:329939.48 tires:328746.77 headlight:324946.19 wipers:319042.86 bmw:301157.71 rear:301089.84 nissan:297581.17 windshield:296184.00 mats:287368.26 hitch:270319.15 mpg:267665.26 dodge:266542.17 factory:258807.38 vehicles:251331.47 silverado:249077.33 mechanic:248847.51 lights:239932.63 exhaust:237077.93 passenger:235734.63 bolts:222091.47 steering:219603.94 muffler:211049.14 motorcycle:208967.66 bumper:206088.60 cars:199793.69 rotors:199640.06 filter:197923.06 helmet:195749.44 mazda:194960.56 trailer:193587.70 gmc:192902.69 subaru:191723.10 wrangler:188869.79 tailgate:184867.13 camry:183925.86 fuel:181699.42 wheel:167735.63 autozone:164132.76 bolt:163948.44 civic:162273.95 decal:157593.25 tacoma:156741.15 dorman:154908.43 vw:151956.20 weathertech:148025.60 corolla:146642.28 auto:143837.92 radiator:142288.86 stock:138956.12 obd:135058.64 wiring:130797.95 sticker:129467.05 kit:129259.26 towing:127195.15 delco:124619.31 struts:123710.64 gasket:122620.07 inverter:120563.57 rv:119615.46	
<Baby> crib:2667936.40 diaper:2492661.11 diapers:1274764.93 seat:1200922.87 graco:989622.56 infant:940272.35 carseat:894780.63 sippy:837571.89 britax:823530.95 newborn:815352.50 medela:754043.85 babies:742737.44 nipple:679658.87 strollers:658870.78 avent:641923.64 bassinet:604830.91 nipples:582201.77 teething:580376.47 toddler:560997.70 pacifier:554832.95 son:510070.97 pacifiers:473680.79 bottles:468067.57 swaddle:458475.89 teether:445377.50 daughter:424087.93 nursery:403663.22 gate:389877.08 seats:387514.42 recline:366439.52 potty:363338.85 blanket:360585.22 toys:350896.32 chicco:338402.06 month:334546.18 months:322877.11 highchair:311735.79 booster:291804.35 bib:279423.80 chair:279180.36 boppy:257993.22 blankets:252045.85 bjorn:247854.41 wipes:244683.02 evenflo:242209.91 swaddling:238400.97 loves:235769.33 breast:222461.15 playtex:220618.99 soft:216370.78 child:211044.55 diapering:200891.67 nuk:200157.00 bouncer:199017.38 mattress:195426.69 swaddled:187684.62 prefolds:184304.00 wash:183780.77 carrier:183683.10 teethers:173760.11 burp:167968.68 tub:167559.27 breastfeeding:159310.46 tray:159089.34 cute:156986.49 thirsties:155404.40 cribs:155254.59 latch:152949.90 straps:151684.52 reclines:151271.67 milk:150511.54 sleep:149739.74 paci:148457.73 pail:148330.73 feeding:145914.67	
<Beauty> scent:2505556.92 shampoo:2470819.34 lotion:2216207.28 smells:2102965.68 conditioner:1836058.36 smell:1687041.81 fragrance:1672900.40 moisturizer:1552986.70 greasy:1485301.29 perfume:1461724.09 oily:1401379.81 makeup:1363767.42 dry:1288295.78 acne:1268801.18 curly:1105350.83 scalp:1008692.54 cream:909890.41 salon:851504.48 mascara:843802.73 curls:799106.00 products:787354.87 brush:779469.27 moisturizing:774593.18 bottle:757979.44 cologne:736128.58 frizzy:723963.46 lashes:718491.04 cleanser:717337.37 nail:708955.67 serum:686528.25 frizz:679234.62 nails:642901.03 polish:637716.53 pores:610978.76 sunscreen:592094.35 face:569783.63 brushes:523096.68 tanning:503835.04 soap:493001.40 spf:459321.16 lotions:456884.34 oil:448830.57 wavy:446639.83 moisturized:443322.66 shampoos:436119.70 drying:430902.02 breakouts:419785.23 natural:419137.96 straightener:390272.39 silky:387265.48 soft:385003.96 concealer:381236.38 comb:376450.17 gel:360064.73 dryer:358891.56 apply:358174.43 creams:355108.61 curl:350055.04 curling:349031.39 dries:346980.13 wash:336388.62 eyeliner:328364.09 dermatologist:322824.83 spray:320826.79 facial:317191.86 opi:313098.91 shiny:312248.24 argan:300874.77 scents:293457.33 olay:289400.06 color:289320.14 eyeshadow:289052.39 sensitive:287693.86 shower:286967.04 smooth:286266.71	
<Book> author:6326941.71 reading:6206130.48 characters:4677197.66 written:4181540.20 reader:2776916.25 series:2710627.64 writing:2452095.57 interesting:2381981.44 stories:2187365.88 world:2111919.30 pages:2080297.56 enjoyed:2053251.97 character:1889452.67 history:1864813.15 information:1755629.40 page:1738107.67 readers:1612987.46 chapter:1522697.65 plot:1431248.05 price:1294878.30 authors:1291616.78 people:1264601.77 quality:1209847.66 understand:1162832.15 romance:1143856.58 chapters:1119494.54 lives:1103712.55 fiction:1089484.77 writer:1059369.18 learn:1049299.87 end:1038610.36 novels:1037647.19 mystery:1001239.78 fit:986287.38 ending:971004.60 loved:927670.08 historical:922057.23 relationship:912110.93 god:903574.02 understanding:903121.29 man:900333.19 interested:892984.29 ideas:883860.06 family:881155.80 human:854271.39 bought:851942.77 subject:844050.18 young:842572.83 war:826596.51 size:812654.56 interest:772930.38 writes:752457.51 guide:736238.32 tale:735537.87 works:726233.30 knowledge:725476.88 children:725457.62 woman:718551.12 journey:714181.05 events:709807.60 fascinating:708822.84 wait:708551.10 heart:702259.07 text:699897.75 finished:692549.22 insight:689695.03 published:689170.39 things:679671.06 examples:677054.06 beginning:674296.74 forward:673997.07 sense:663384.70 found:663226.62 questions:663219.33 personal:657462.66	
<CDs_and_Vinyl> music:13157801.35 albums:7260981.38 tracks:6142914.38 listen:5520913.99 lyrics:5269665.21 band:4972306.91 rock:4314448.18 vocals:4107932.63 track:3647333.31 listening:3441292.00 heard:3262733.69 recording:3063397.39 voice:2971390.95 sound:2740218.04 musical:2470992.18 singing:2348957.63 quot:2215094.54 sounds:2193407.36 recordings:2179392.54 recorded:2166554.32 record:2032276.80 singer:2019836.67 vocal:1951800.18 tunes:1912420.44 jazz:1899413.80 bands:1891788.81 solo:1872926.66 hear:1840739.08 disc:1822664.36 cds:1741115.00 sing:1637760.22 listened:1617116.86 catchy:1601571.78 blues:1546474.59 pop:1511056.09 concert:1490389.62 release:1466072.20 musicians:1430958.27 piano:1418410.78 melodies:1353029.10 melodic:1313842.53 fan:1296929.53 artists:1296663.94 hits:1252437.56 released:1234889.89 fans:1230691.53 orchestra:1206268.40 drums:1203655.33 collection:1198854.63 sings:1141827.46 ballad:1140231.36 instrumental:1097721.86 singers:1091072.17 listener:1083434.06 records:1066837.99 soundtrack:1062171.29 ballads:1038266.79 chorus:1024208.90 lp:1011474.95 riffs:1009719.99 dance:997600.54 artist:984172.16 acoustic:955387.49 melody:949030.50 punk:925819.42 guitars:917089.09 production:902909.28 arrangements:896478.69 musically:869770.98 live:864575.99 classic:860464.05 songwriting:840566.68 bass:829582.48 sung:823172.11 studio:817202.12	
<Cell_Phones_and_Accessorie> iphone:4478158.70 screen:2210525.03 protector:2031932.96 charger:1737440.84 galaxy:1385489.51 otterbox:1335937.81 charge:1279290.79 phones:1100137.24 protection:1085009.25 battery:1013121.68 samsung:959337.88 charging:954547.34 cases:923979.92 dropped:878561.77 protects:824668.86 htc:809200.00 protectors:784771.07 fits:760651.90 bluetooth:591873.28 cell:588243.03 headset:580058.60 verizon:565499.09 otter:543873.25 bubbles:483507.83 bulky:463702.84 buttons:460895.15 motorola:460607.44 stylus:452177.35 droid:446335.39 cover:430589.34 protect:424895.98 nokia:396266.73 charges:386615.07 pocket:386562.37 blackberry:372020.67 kickstand:368603.02 rubber:360180.87 protected:340637.28 protective:339059.99 lg:331253.63 chargers:325550.64 holster:311721.60 clip:291768.02 sim:290714.81 fit:287262.99 defender:271542.63 scratches:270085.14 charged:259645.65 nexus:259551.10 drop:245710.81 usb:241749.06 rubberized:232676.41 razr:229905.98 slim:228293.42 tpu:218007.13 sprint:215175.02 perfectly:215112.04 silicone:212671.82 plastic:209061.34 smartphone:203217.40 ear:203037.09 gs:201347.17 reading:199828.51 evo:198631.13 characters:198540.14 device:198407.20 button:198038.70 spigen:186337.72 mobile:185739.54 broke:184278.10 author:182518.08 port:181127.66 iphones:175471.39 bulk:175008.87 edges:166575.31	
<Clothing_Shoes_and_Jewelry> comfortable:4461886.28 shoe:4216310.74 size:3537184.16 fit:2789262.10 pair:2440780.39 boots:2267095.69 wearing:1860327.34 shirt:1829284.48 dress:1654759.50 jeans:1198721.48 feet:1176852.82 earrings:1172819.65 worn:1169090.07 heel:1065384.47 wore:1035598.98 socks:980424.69 bra:906315.01 sandals:896017.72 necklace:869365.52 compliments:864167.64 costume:848956.48 comfy:829996.79 pants:796244.26 bracelet:778786.23 sizing:769222.18 color:757908.08 leather:755712.03 cute:747270.65 toe:697499.04 fabric:684772.16 ordered:662067.11 foot:643521.32 wears:590761.43 jewelry:566964.10 fits:558120.42 watches:546883.68 sole:541421.40 watch:535495.22 boot:531340.43 pairs:518510.21 waist:496176.63 shirts:496126.99 slippers:493090.12 ring:482607.24 warm:464112.90 sandal:445881.84 soles:427423.27 stylish:421031.51 pendant:403729.53 arch:364058.47 narrow:354762.21 tight:351308.28 leggings:351050.25 outfit:351050.25 material:345988.89 sizes:345615.31 colors:345194.35 nice:344820.82 reading:344210.87 jacket:339639.39 characters:339140.63 ankle:332478.21 wrist:328202.44 quality:326118.31 hat:320926.62 sneakers:314646.38 author:313902.09 wallet:309617.76 walking:309218.27 flattering:302731.48 bras:301758.18 dressy:298714.37 soft:295932.94 casual:289385.08 medium:288312.60	
<Digital_Music> music:1513705.08 lyrics:1118164.06 listen:900110.51 albums:524242.20 heard:518504.14 voice:476028.57 listening:400753.77 tracks:398696.87 vocals:381548.42 track:376961.79 catchy:369763.57 rock:309133.15 band:302605.29 rap:286144.71 sing:280739.71 singer:242607.17 artist:234269.28 singing:223029.85 tune:221619.65 hear:194638.71 dance:190037.23 sounds:186073.18 listened:173780.95 melody:169708.45 sound:167162.85 eminem:161868.13 upbeat:159319.20 hop:155351.41 pop:143361.86 sings:140929.16 beats:136315.29 radio:130913.55 vocal:122349.19 classic:120958.44 record:120766.78 musical:118252.50 artists:117722.60 mp:117115.18 soulful:115229.25 beat:108500.45 rapper:108197.89 tunes:107780.12 hip:106874.53 playlist:105537.00 download:105004.42 chorus:102721.58 jazz:100924.47 rappers:100813.76 favorite:93196.03 hits:90131.82 melodies:89876.88 soul:88326.17 piano:88263.47 remix:86978.93 ballad:86407.50 funk:85137.79 blues:84785.94 bands:84598.65 sung:82302.10 talent:81782.72 solo:81720.06 recording:80503.03 instrumental:80137.92 debut:79409.98 ep:76974.62 love:73941.07 fan:73780.49 songwriter:71991.21 mellow:70602.39 rendition:70119.56 singles:69910.42 version:69029.60 quot:68749.02 hearing:66632.93 lyrically:66492.68	
<Electronic> cable:3154010.04 usb:2583870.76 computer:2488846.08 ipad:1763865.81 screen:1661835.35 speakers:1622239.52 works:1589452.01 keyboard:1583672.14 battery:1574174.77 gb:1562476.79 sound:1552043.06 headphones:1524939.69 hdmi:1472949.95 tv:1467528.31 sony:1429619.14 ipod:1418354.93 device:1407829.00 wireless:1368604.28 adapter:1367866.97 tablet:1335563.66 drive:1225471.14 plug:1209637.80 card:1153479.69 cables:1146283.77 pc:1120529.14 software:1105827.42 lens:1087946.23 windows:1057397.51 hd:1051687.91 router:1020309.40 unit:990875.27 remote:984004.89 price:968936.21 mouse:901048.55 port:875134.52 plugged:861205.80 signal:849815.69 macbook:811951.03 cord:810878.57 player:801178.70 quality:796534.95 canon:783012.29 setup:781661.59 speaker:779037.96 cameras:753309.90 sd:723869.37 video:704800.32 audio:700211.73 mp:682673.69 receiver:677371.61 external:675783.85 apple:665061.16 nikon:661910.52 devices:656286.81 charger:651538.16 lcd:648311.85 antenna:628721.67 desktop:624443.54 logitech:613107.50 charge:611495.63 dell:609951.02 ports:592168.90 flash:590034.09 connect:588594.81 worked:581558.95 monitor:565045.07 zoom:562662.58 power:553625.49 samsung:552740.80 gps:551191.78 mac:551147.46 bluetooth:550710.81 system:546340.47 asus:545653.82 files:538937.74	
<Grocery_and_Gourmet_Food> tea:2079515.01 tastes:1860011.39 delicious:1745849.67 flavors:1695319.00 chocolate:1667101.18 sugar:1612998.32 tasted:1550874.61 snack:1485249.31 tasty:1351285.43 tasting:1276356.62 sauce:897879.09 drink:876609.52 gluten:811145.90 flavored:797849.96 teas:751470.63 coconut:750606.20 organic:735970.34 milk:698910.98 syrup:692281.61 eat:670807.34 grocery:664732.72 flavorful:654618.84 cup:634381.48 calories:613782.84 decaf:610475.20 keurig:599825.38 coffees:597360.98 cereal:594169.76 salty:578820.12 candy:564689.11 roast:525551.87 cinnamon:504152.20 spicy:488307.41 crackers:482983.47 salt:482398.06 vanilla:477626.04 cookies:463494.13 chewy:455759.59 aftertaste:450090.46 butter:442547.13 sweetener:431032.92 crunchy:424266.03 texture:408774.82 yummy:396587.70 peanut:396370.77 candies:394971.83 beans:381230.16 seasoning:381175.78 sweet:374794.77 bitter:369583.09 sodium:362394.76 caffeine:355241.13 aroma:352317.91 oatmeal:349221.99 cups:341888.14 honey:337871.30 fruit:326307.28 caramel:319932.21 stevia:317181.29 breakfast:316159.63 almonds:311720.82 fresh:304325.04 flavoring:302778.26 rice:298994.92 corn:297741.92 chai:294898.66 popcorn:290485.79 pasta:288122.48 starbucks:280711.77 cheese:277582.15 noodles:273031.24 granola:271123.73 healthy:262518.76 licorice:262326.45 hazelnut:258093.56	
